TableName,Columns
ServiceTreePpe_Variant_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Name; InternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_FeatureValue_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Value; FeatureInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_ProductSkuMetadata_Log,"[""; ChangeVersion; ChangeOperation; ID; PurchasableId; MetadataDefinitionId; Value; EntityState; Created; CreatedBy; Modified; ModifiedBy; AzureCloudId""]"
ServiceTreePpe_ProductSkuToService_Log,"[""; ChangeVersion; ChangeOperation; PurchasableId; ServiceId""]"
ServiceTreePpe_ProductSku_Log,"[""; ChangeVersion; ChangeOperation; ID; OId; Sku; Name; OfferingId; EntityState; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_Feature_Log,"[""; ChangeVersion; ChangeOperation; ID; Value; VariantId; EntityState; Created; CreatedBy; Modified; ModifiedBy; OId""]"
ServiceTreePpe_FeatureToSku_Log,"[""; ChangeVersion; ChangeOperation; PurchasableId; VariantValueId""]"
ServiceTreePpe_AzureSubscriptionAllInternal_Log,"[""; ChangeVersion; ChangeOperation; Id; SubscriptionId; AzureCloudId; Info; AccountOwner; SubscriptionRegisteredBy; SubscriptionStatus; Created; Modified; ModifiedBy; ExecutiveOrganization; ServiceBusETag""]"
ServiceTree_OrganizationMetadata_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Value; OrganizationInternalId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Variant_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Name; InternalId; Created; CreatedBy; Modified; ModifiedBy""]"
DataStudio_ServiceTree_ServiceMetadata_Log,"[""; ChangeVersion; ChangeOperation; Id; ServiceId; ServiceLevel; ServiceName; Type; Value; IsComplex; AzureCloud; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ServiceMetadata_Log,"[""; ChangeVersion; ChangeOperation; Id; Status; Value; AzureCloud; ServiceInternalId; MetadataDefinitionInternalId; ProvisioningStatusInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
