TableName,Columns
CodeReviewReviewer,"[""; OrganizationName; ProjectId; CodeReviewId; IdentityId; EtlProcessDate; CreatedDate; IdentityDisplayName; IdentityIsContainer; IdentityUniqueName; IterationId; Kind; ModifiedDate; ReviewerStateId; Data; EtlMetadata; EtlIngestDate""]"
CodeReviewThread,"[""; OrganizationName; ProjectId; CodeReviewId; CodeReviewThreadId; EtlProcessDate; ArtifactUri; CommentsCount; IsDeleted; LastUpdatedDate; Properties; PublishedDate; Status; ThreadContext; Data; EtlMetadata; EtlIngestDate""]"
CodeReview,"[""; OrganizationName; ProjectId; CodeReviewId; EtlProcessDate; AuthorDisplayName; AuthorId; AuthorUniqueName; CompletedDate; CreatedDate; Description; SourceArtifactId; Status; Title; UpdatedDate; Data; EtlMetadata; EtlIngestDate""]"
CodeReviewIteration,"[""; OrganizationName; ProjectId; CodeReviewId; CodeReviewIterationId; EtlProcessDate; AuthorDisplayName; AuthorId; AuthorUniqueName; CreatedDate; Description; IsUnpublished; UpdatedDate; Data; EtlMetadata; EtlIngestDate""]"
CodeReviewThreadComment,"[""; OrganizationName; ProjectId; CodeReviewId; CodeReviewThreadId; CodeReviewThreadCommentId; EtlProcessDate; AuthorDisplayName; AuthorId; AuthorIsContainer; AuthorUniqueName; CommentType; Content; IsDeleted; LastUpdatedDate; PublishedDate; Data; EtlMetadata; EtlIngestDate""]"
DistributedTask,"[""; OrganizationName; ProjectId; DistributedTaskId; VersionMajor; VersionMinor; VersionPatch; EtlProcessDate; VersionIsTest; DistributedTaskName; Category; Author; Deprecated; ContentsUploaded; ContributionIdentifier; ContributionVersion; DefinitionType; Description; FriendlyName; IconUrl; InstanceNameFormat; MinimumAgentVersion; ReleaseNotes; ServerOwned; ShowEnvironmentVariables; Data; EtlMetadata; EtlIngestDate""]"
DistributedTaskGroups,"[""; OrganizationName; ProjectId; DistributedTaskGroupId; Name; FriendlyName; Description; Category; DefinitionType; Author; RunOn; Revision; CreatedBy; CreatedOn; ModifiedBy; ModifiedOn; Comment; Demands; Groups; VersionMajor; VersionMinor; VersionPatch; VersionIsTest; Inputs; Satisfies; SourceDefinitions; DataSourceBindings; InstanceNameFormat; PreJobExecution; Execution; PostJobExecution; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
WorkItemHyperlink,"[""; OrganizationName; WorkItemId; AttributeId; EtlProcessDate; Url; ResourceCreatedDate; ResourceModifiedDate; Comment; Data; EtlMetadata; EtlIngestDate""]"
WorkItemProcess,"[""; OrganizationName; TypeId; EtlProcessDate; Name; ReferenceName; Description; ParentProcessTypeId; IsEnabled; IsDefault; CustomizationType; Data; EtlMetadata; EtlIngestDate""]"
WorkItemProcessType,"[""; OrganizationName; ProcessId; ReferenceName; EtlProcessDate; Name; Description; Url; Customization; Color; Icon; IsDisabled; Inherits; Data; EtlMetadata; EtlIngestDate""]"
